Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/29/2025,04/30/2025,AMAZON MKTPL*3W2A01K53,Shopping,Sale,-51.97,
04/24/2025,04/25/2025,AMAZON MKTPL*N24QI62K2,Shopping,Sale,-64.15,
04/22/2025,04/22/2025,Amazon.com*9G4NH9D13,Shopping,Sale,-38.38,
04/19/2025,04/20/2025,GOOGLE *Google One,Shopping,Sale,-2.19,
04/18/2025,04/18/2025,AUTOMATIC PAYMENT - THANK,,Payment,77.20,
04/16/2025,04/17/2025,Amazon.com*1F8P51213,Shopping,Sale,-20.44,
04/13/2025,04/14/2025,AMAZON MKTPL*GI76Z41O3,Shopping,Sale,-271.59,
04/09/2025,04/10/2025,GOOGLE *ChatGPT,Shopping,Sale,-22.03,
04/09/2025,04/10/2025,Amazon.com*4U96G48J3,Shopping,Sale,-44.88,
04/09/2025,04/10/2025,AMAZON MKTPL*4X49W4YF3,Shopping,Sale,-8.45,
04/09/2025,04/09/2025,NOTION LABS  INC.,Professional Services,Sale,-13.19,
04/08/2025,04/08/2025,AMAZON MKTPL*I07II68M3,Shopping,Sale,-6.62,
04/07/2025,04/08/2025,AMAZON MKTPL*Q95AY7W73,Shopping,Sale,-31.98,
04/03/2025,04/04/2025,Amazon.com*V94XD1IG3,Shopping,Sale,-44.52,
04/02/2025,04/03/2025,AMAZON MKTPL*HO0QU30R3,Shopping,Sale,-10.78,
04/02/2025,04/03/2025,Amazon.com*TP3O23C33,Shopping,Sale,-66.16,
04/01/2025,04/02/2025,AMAZON MKTPL*UB08M2F13,Shopping,Sale,-1921.11,
04/01/2025,04/02/2025,Amazon.com*1U55106W3,Shopping,Sale,-49.22,
03/30/2025,03/31/2025,AMAZON MKTPL*2U1IH7A73,Shopping,Sale,-61.83,
03/30/2025,03/31/2025,AMAZON MKTPL*0X5X585Y3,Shopping,Sale,-32.03,
03/29/2025,03/30/2025,Amazon.com*FV3YV27D3,Shopping,Sale,-34.14,
03/29/2025,03/30/2025,GOOGLE *YouTubePremium,Shopping,Sale,-25.42,
03/22/2025,03/23/2025,AMAZON MKTPL*1G0MM81T3,Shopping,Sale,-38.69,
03/21/2025,03/23/2025,Amazon.com*WK9PD78E3,Shopping,Sale,-500.00,
03/22/2025,03/23/2025,Whole Foods LNW 10436,Groceries,Sale,-6.58,
03/21/2025,03/23/2025,AMAZON MKTPL*BM2SR53B3,Shopping,Sale,-138.24,
03/20/2025,03/21/2025,AMAZON MKTPL*JA40G44N3,Shopping,Sale,-14.37,
03/19/2025,03/20/2025,GOOGLE *Google One,Shopping,Sale,-2.19,
03/18/2025,03/18/2025,AUTOMATIC PAYMENT - THANK,,Payment,37.41,
03/09/2025,03/10/2025,GOOGLE *ChatGPT,Shopping,Sale,-22.03,
03/09/2025,03/09/2025,NOTION LABS  INC.,Professional Services,Sale,-13.19,
02/28/2025,03/02/2025,GOOGLE *YouTubePremium,Shopping,Sale,-25.42,
02/19/2025,02/20/2025,GOOGLE *Google One,Shopping,Sale,-2.19,
02/09/2025,02/10/2025,GOOGLE *ChatGPT,Shopping,Sale,-22.03,
02/09/2025,02/09/2025,NOTION LABS  INC.,Professional Services,Sale,-13.19,
01/31/2025,02/02/2025,Payment Thank You - Web,,Payment,6170.40,
01/29/2025,01/30/2025,GOOGLE *YouTubePremium,Shopping,Sale,-25.42,
01/23/2025,01/29/2025,Returned Payment,,Reversal,-4257.59,
01/25/2025,01/28/2025,ARCO#83186ARCO GAS,Gas,Sale,-18.58,
01/25/2025,01/28/2025,THE HOME DEPOT #4713,Home,Sale,-31.65,
01/26/2025,01/28/2025,Amazon.com*ZC6554NB0,Shopping,Sale,-25.43,
01/26/2025,01/28/2025,AMAZON MKTPL*Z71R09FE2,Shopping,Sale,-132.71,
01/23/2025,01/24/2025,Amazon.com*ZG3EC62T0,Shopping,Sale,-48.65,
01/23/2025,01/23/2025,Payment Thank You - 2nd A,,Payment,4257.59,
01/22/2025,01/23/2025,AMAZON MKTPL*ZC8456GH2,Shopping,Sale,-16.34,
01/22/2025,01/23/2025,AMZN Mktp US*ZC95X9V32,Shopping,Sale,-120.55,
01/23/2025,01/23/2025,PURCH INTEREST DEBIT ADJ,Fees & Adjustments,Fee,-13.66,
01/17/2025,01/23/2025,Returned Payment,,Reversal,-4257.59,
01/21/2025,01/22/2025,Amazon Fresh*ZC8JO3EK2,Groceries,Sale,-13.22,
01/21/2025,01/22/2025,Amazon Prime*ZC6Y26TE2,Bills & Utilities,Sale,-153.73,
01/19/2025,01/20/2025,GOOGLE *Google One,Shopping,Sale,-2.19,
01/17/2025,01/19/2025,Amazon.com*Z52ZG7KM0,Shopping,Sale,-1.79,
01/17/2025,01/17/2025,AUTOMATIC PAYMENT - THANK,,Payment,4257.59,
01/15/2025,01/15/2025,AMAZON MKTPLACE PMTS,Shopping,Return,18.79,
01/14/2025,01/15/2025,Amazon.com*Z52CV20L0,Shopping,Sale,-20.98,
01/14/2025,01/15/2025,AMAZON MKTPL*ZD6ED2DX1,Shopping,Sale,-33.12,
01/13/2025,01/13/2025,Amazon.com*Z578Z6IU2,Shopping,Sale,-696.77,
01/10/2025,01/12/2025,Amazon.com*Z51TM85N2,Shopping,Sale,-200.00,
01/09/2025,01/10/2025,GOOGLE *ChatGPT,Shopping,Sale,-22.03,
01/08/2025,01/09/2025,AMAZON MKTPL*ZD39S41O0,Shopping,Sale,-65.21,
01/08/2025,01/09/2025,AMAZON MKTPL*ZD7EB10A0,Shopping,Sale,-11.05,
01/09/2025,01/09/2025,NOTION LABS  INC.,Professional Services,Sale,-13.19,
01/08/2025,01/08/2025,AMAZON MKTPL*ZD0TG1EX0,Shopping,Sale,-45.03,
12/29/2024,12/30/2024,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-25.42,
12/28/2024,12/29/2024,Whole Foods LNW 10436,Groceries,Sale,-68.32,
12/28/2024,12/29/2024,AMAZON MKTPL*ZE3GD6LY1,Shopping,Sale,-107.77,
12/19/2024,12/20/2024,GOOGLE *Google One,Professional Services,Sale,-2.19,
12/18/2024,12/18/2024,AUTOMATIC PAYMENT - THANK,,Payment,1972.77,
12/16/2024,12/16/2024,GOOGLE *GRYMALA,Shopping,Sale,-99.17,
12/11/2024,12/12/2024,AMAZON MKTPL*ZX1MY1ND0,Shopping,Sale,-66.32,
12/11/2024,12/12/2024,AMAZON MKTPLACE PMTS,Shopping,Return,21.00,
12/10/2024,12/11/2024,Amazon.com,Shopping,Return,19.51,
12/09/2024,12/10/2024,AMAZON MKTPL*ZR3FJ1PY1,Shopping,Sale,-1535.13,
12/09/2024,12/10/2024,AMAZON MKTPL*ZR83R7760,Shopping,Sale,-1535.13,
12/09/2024,12/10/2024,AMAZON MKTPL*ZX2VE7ZY2,Shopping,Sale,-7.35,
12/09/2024,12/10/2024,Amazon.com*ZR5I75TA1,Shopping,Sale,-42.50,
12/09/2024,12/10/2024,AMZN Mktp US*ZX3CY2L72,Shopping,Sale,-19.73,
12/09/2024,12/10/2024,AMAZON MKTPL*ZR68X2D20,Shopping,Sale,-55.27,
12/08/2024,12/09/2024,AMAZON MKTPLACE PMTS,Shopping,Return,450.13,
12/09/2024,12/09/2024,NOTION LABS  INC.,Professional Services,Sale,-13.13,
12/07/2024,12/08/2024,AMAZON MKTPL*ZR5H72S92,Shopping,Sale,-18.79,
12/07/2024,12/08/2024,Amazon.com*ZR1UB76X2,Shopping,Sale,-300.00,
12/07/2024,12/08/2024,AMAZON MKTPLACE PMTS,Shopping,Return,111.52,
12/05/2024,12/06/2024,AMAZON MKTPL*ZR86C84M0,Shopping,Sale,-49.32,
12/03/2024,12/04/2024,Amazon.com*ZL31N6N61,Shopping,Sale,-79.96,
11/29/2024,12/01/2024,AMAZON MKTPL*Z38MT2DL2,Shopping,Sale,-39.80,
11/29/2024,12/01/2024,GOOGLE *YouTubePremium,Entertainment,Sale,-25.42,
11/28/2024,11/29/2024,AMAZON MKTPL*Z37CO3VM2,Shopping,Sale,-37.38,
11/28/2024,11/28/2024,GOOGLE *Cube Apps Ltd,Shopping,Sale,-22.11,
11/26/2024,11/27/2024,Amazon.com*1W6JZ6C63,Shopping,Sale,-52.69,
11/22/2024,11/24/2024,Amazon.com*OK8H88X63,Shopping,Sale,-200.00,
11/22/2024,11/22/2024,AMAZON MKTPL*6K3OR97Z3,Shopping,Sale,-74.99,
11/19/2024,11/20/2024,GOOGLE *Google One,Shopping,Sale,-2.19,
11/18/2024,11/18/2024,AUTOMATIC PAYMENT - THANK,,Payment,725.49,
11/18/2024,11/18/2024,eBay O*04-12342-02031,Shopping,Sale,-48.00,
11/18/2024,11/18/2024,AMAZON MKTPL*L78IE54N3,Shopping,Sale,-32.47,
11/13/2024,11/14/2024,AMAZON MKTPL*BF2GZ1V83,Shopping,Sale,-8.84,
11/10/2024,11/11/2024,AMAZON MKTPL*0I6JS79V3,Shopping,Sale,-132.58,
11/09/2024,11/10/2024,NOTION LABS  INC.,Professional Services,Sale,-13.13,
11/07/2024,11/08/2024,AMAZON MKTPL*OJ96L6BC3,Shopping,Sale,-31.58,
11/07/2024,11/08/2024,Amazon.com*KJ6G98HC3,Shopping,Sale,-25.50,
11/04/2024,11/05/2024,AMAZON MKTPL*5H89107B3,Shopping,Sale,-165.88,
11/02/2024,11/03/2024,AMAZON MKTPL*T07C45VT3,Shopping,Sale,-9.00,
11/01/2024,11/03/2024,Amazon.com*DV77A1ID3,Shopping,Sale,-15.90,
10/30/2024,10/31/2024,AMZN Mktp US*DW7YJ7C53,Shopping,Sale,-450.13,
10/30/2024,10/30/2024,Amazon.com*Y07P34R83,Shopping,Sale,-9.65,
10/29/2024,10/30/2024,GOOGLE *YouTubePremium,Entertainment,Sale,-25.42,
10/30/2024,10/30/2024,AMAZON MKTPLACE PMTS,Shopping,Return,27.64,
10/29/2024,10/30/2024,AMAZON MKTPL*397L08KH3,Shopping,Sale,-120.43,
10/30/2024,10/30/2024,Whole Foods LNW 10436,Groceries,Sale,-32.89,
10/29/2024,10/30/2024,AMZN Mktp US*NQ9974SC3,Shopping,Sale,-111.52,
10/25/2024,10/27/2024,AMAZON MKTPL*134O78813,Shopping,Sale,-65.66,
10/24/2024,10/25/2024,AMZN Mktp US*QB8935H93,Shopping,Sale,-29.85,
10/24/2024,10/25/2024,AMZN Mktp US*X96308G33,Shopping,Sale,-751.16,
10/24/2024,10/25/2024,AMAZON MKTPL*BK03L2QE3,Shopping,Sale,-42.00,
10/24/2024,10/25/2024,AMAZON MKTPL*HG5576HH3,Shopping,Sale,-191.98,
10/24/2024,10/25/2024,AMZN Mktp US,Shopping,Return,29.85,
